lat,lon,time
44.4195125,26.0485675,2018-09-02 08:30:00
44.4196466,26.0493507,2018-09-02 08:30:20
44.4194972,26.0482510,2018-09-02 08:30:40
44.4201562,26.0481116,2018-09-02 08:31:00
44.4207692,26.0479131,2018-09-02 08:31:20
44.4206735,26.0472908,2018-09-02 08:31:40
44.4205125,26.0470280,2018-09-02 08:32:00
44.4206888,26.0472050,2018-09-02 08:32:20
44.4207462,26.0475912,2018-09-02 08:32:40
44.4209340,26.0479238,2018-09-02 08:33:00
44.4210911,26.0478433,2018-09-02 08:33:20
44.4212175,26.0478433,2018-09-02 08:33:40
44.4213401,26.0478380,2018-09-02 08:34:00
44.4214627,26.0477897,2018-09-02 08:34:20
44.4214321,26.0476019,2018-09-02 08:34:40
44.4211907,26.0476931,2018-09-02 08:35:00
44.4209577,26.0478973,2018-09-02 08:35:20
44.4209416,26.0477682,2018-09-02 08:35:40
44.4208344,26.0478219,2018-09-02 08:36:00
44.4207539,26.0479828,2018-09-02 08:36:20
44.4206198,26.0478863,2018-09-02 08:36:40
44.4207807,26.0477414,2018-09-02 08:37:00
44.4207922,26.0473069,2018-09-02 08:37:20
44.4208842,26.0470548,2018-09-02 08:37:40
44.4206620,26.0470923,2018-09-02 08:38:00
44.4207616,26.0476770,2018-09-02 08:38:20
44.4205623,26.0478755,2018-09-02 08:38:40
