lat,lon,time
44.4255436,26.0785150,2018-09-02 08:30:00
44.4249306,26.0777961,2018-09-02 08:31:00
44.4246165,26.0769056,2018-09-02 08:32:00
44.4241031,26.0753500,2018-09-02 08:33:00
44.4237200,26.0740196,2018-09-02 08:34:00
44.4235284,26.0732471,2018-09-02 08:35:00
44.4241031,26.0725283,2018-09-02 08:30:00
44.4246318,26.0718738,2018-09-02 08:30:00
44.4236817,26.0733222,2018-09-02 08:30:00
44.4231606,26.0736119,2018-09-02 08:30:00
44.4222718,26.0741698,2018-09-02 08:30:00
44.4233982,26.0726570,2018-09-02 08:30:00
44.4234978,26.0727321,2018-09-02 08:30:00
44.4238809,26.0740947,2018-09-02 08:30:00
44.4242257,26.0750388,2018-09-02 08:30:00
44.4239652,26.0751890,2018-09-02 08:30:00
44.4231530,26.0727643,2018-09-02 08:30:00
44.4241184,26.0719811,2018-09-02 08:30:00
44.4242870,26.0723781,2018-09-02 08:30:00
44.4233369,26.0737085,2018-09-02 08:30:00
44.4224020,26.0736763,2018-09-02 08:30:00
44.4238732,26.0722601,2018-09-02 08:30:00
44.4240188,26.0729574,2018-09-02 08:30:00
44.4234518,26.0738050,2018-09-02 08:30:00

